SPECIES,COMMON,SOURCE,DATATYPE,TAG,TAGNO, ,TAGEVENT,TAGTYPE,LATDEC,LONDEC,DATE,MONTH,DAY,YEAR,FL_CM,FL_DET,PCL_CM,PCL_DET,TL_CM,TL_DET,STL_CM,STL_DET,SL_CM,SL_DET,LENGTHS_DET,LIFESTAGE_AUTHOR,LIFESTAGE_HMS_EFH,WT_A,WT_A_UNITS,WT_DET,WT_KG,SEX,OCC,GEAR,LOC,NOTES,Source ID,SourceFile
Carcharhinus limbatus,Blacktip,CSTP,T,,57593, ,,BR,32.439,-80.401,9/11/13,9,11,2013,58,MEAS,,,73.2,MEAS,,,,,,,neo,2.2,KG,CALC,2.2,F,BIO,LL,,,57593,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,57594, ,,BR,32.41,-80.376,9/11/13,9,11,2013,51.9,MEAS,,,65.3,MEAS,,,,,,,neo,1.6,KG,CALC,1.6,F,BIO,LL,,,57594,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,57597, ,,BR,32.429,-80.38,9/11/13,9,11,2013,61.4,MEAS,,,76.3,MEAS,,,,,,,juv,2.6,KG,CALC,2.6,F,BIO,LL,,,57597,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,57599, ,,BR,32.429,-80.38,9/11/13,9,11,2013,59.8,MEAS,,,74.3,MEAS,,,,,,,neo,2.4,KG,CALC,2.4,M,BIO,LL,,,57599,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,57605, ,,BR,32.445,-80.404,9/11/13,9,11,2013,54.5,MEAS,,,68.8,MEAS,,,,,,,neo,1.8,KG,CALC,1.8,F,BIO,LL,,,57605,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,57606, ,,BR,32.455,-80.394,9/11/13,9,11,2013,64.5,MEAS,,,80.7,MEAS,,,,,,,juv,3,KG,CALC,3,F,BIO,LL,,,57606,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,57607, ,,BR,32.455,-80.394,9/11/13,9,11,2013,63,MEAS,,,79.3,MEAS,,,,,,,juv,2.8,KG,CALC,2.8,M,BIO,LL,,,57607,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,57608, ,,BR,32.455,-80.394,9/11/13,9,11,2013,58.8,MEAS,,,73.3,MEAS,,,,,,,neo,2.3,KG,CALC,2.3,F,BIO,LL,,,57608,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57817, ,,BR,33.033,-78.471,5/16/14,5,16,2014,48,MEAS,,,58.5,CALC,61,MEAS,,,,,neo,,,,,F,BIO,GN,Bulls Bay - Harbor River,,20140011_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57846, ,,BR,33.033,-78.471,5/28/14,5,28,2014,54.8,MEAS,,,66.6,CALC,68.8,MEAS,,,,,neo,,,,,M,BIO,GN,Bulls Bay - Harbor River,,20140026_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57857, ,,BR,33.033,-78.471,5/28/14,5,28,2014,40.5,MEAS,,,49.5,CALC,50.7,MEAS,,,,,neo,,,,,F,BIO,GN,Bulls Bay - Harbor River,,20140030_3,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57868, ,,BR,33.01,-78.515,5/29/14,5,29,2014,47.5,MEAS,,,57.9,CALC,60,MEAS,,,,,neo,,,,,M,BIO,GN,Bulls Bay - Five Fathom Creek,,20140032_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57869, ,,BR,33.01,-78.515,5/29/14,5,29,2014,48,MEAS,,,58.5,CALC,60.4,MEAS,,,,,neo,,,,,M,BIO,GN,Bulls Bay - Five Fathom Creek,,20140032_3,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57871, ,,BR,33.01,-78.515,5/29/14,5,29,2014,49.4,MEAS,,,60.2,CALC,62.3,MEAS,,,,,neo,,,,,F,BIO,GN,Bulls Bay - Five Fathom Creek,,20140032_4,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57881, ,,BR,33.01,-78.515,5/29/14,5,29,2014,44.5,MEAS,,,54.3,CALC,56.7,MEAS,,,,,neo,,,,,M,BIO,GN,Bulls Bay - Five Fathom Creek,,20140035_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57906, ,,BR,32.247,-79.373,6/17/14,6,17,2014,100,MEAS,,,120.7,CALC,126,MEAS,,,,,juv,,,,,F,BIO,LL,Port Royal Sound-Bay Point Slough,,20140049_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57911, ,,BR,32.228,-79.36,6/18/14,6,18,2014,47.9,MEAS,,,58.4,CALC,59.9,MEAS,,,,,neo,,,,,M,BIO,LL,Port Royal Sound,,20140051_2,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57916, ,,BR,33.033,-78.471,6/20/14,6,20,2014,55,MEAS,,,66.9,CALC,69.1,MEAS,,,,,neo,,,,,M,BIO,GN,Bulls Bay - Harbor River,,20140057_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57920, ,,BR,33.033,-78.471,6/20/14,6,20,2014,51.3,MEAS,,,62.5,CALC,63.5,MEAS,,,,,neo,,,,,M,BIO,GN,Bulls Bay - Harbor River,,20140057_3,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57932, ,,BR,33.033,-78.471,6/20/14,6,20,2014,51,MEAS,,,62.1,CALC,63.8,MEAS,,,,,neo,,,,,F,BIO,LL,Bulls Bay - Harbor River,,20140066_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57934, ,,BR,33.033,-78.471,6/20/14,6,20,2014,49.9,MEAS,,,60.8,CALC,62.8,MEAS,,,,,neo,,,,,M,BIO,LL,Bulls Bay - Harbor River,,20140067_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57935, ,,BR,33.033,-78.471,6/20/14,6,20,2014,45,MEAS,,,54.9,CALC,56.6,MEAS,,,,,neo,,,,,F,BIO,LL,Bulls Bay - Harbor River,,20140067_2,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57950, ,,BR,32.482,-79.519,6/23/14,6,23,2014,58.8,MEAS,,,71.4,CALC,74.7,MEAS,,,,,neo,,,,,M,BIO,LL,Morgan Island,,20140070_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,57953, ,,BR,32.482,-80.481,6/23/14,6,23,2014,50.3,MEAS,,,62.8,MEAS,,,,,,,neo,1.4,KG,CALC,1.4,F,BIO,LL,,,57953,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57953, ,,BR,32.482,-79.519,6/23/14,6,23,2014,50.3,MEAS,,,61.3,CALC,62.8,MEAS,,,,,neo,,,,,F,BIO,LL,Morgan Island,,20140071_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,R,,57953, ,,BR,32.496,-80.5,7/1/14,7,1,2014,48.2,MEAS,,,61.6,MEAS,,,,,,,neo,0.9,KG,EST,0.9,F,REC,RR,,,57953,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57954, ,,BR,32.482,-79.519,6/23/14,6,23,2014,52.6,MEAS,,,64,CALC,66.4,MEAS,,,,,neo,,,,,M,BIO,LL,Morgan Island,,20140071_3,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,57983, ,,BR,33.01,-78.515,6/24/14,6,24,2014,51.9,MEAS,,,63.2,CALC,65.3,MEAS,,,,,neo,,,,,M,BIO,GN,Bulls Bay - Five Fathom Creek,,20140082_2,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58000,duplicate,,BR,33.033,-78.471,7/8/14,7,8,2014,50,MEAS,,,60.9,CALC,63.1,MEAS,,,,,neo,,,,,F,BIO,LL,Bulls Bay - Harbor River,,20140089_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58000,duplicate,,BR,33.033,-78.471,7/23/14,7,23,2014,50,MEAS,,,60.9,CALC,63.4,MEAS,,,,,neo,,,,,M,BIO,LL,Bulls Bay - Harbor River,,20140138_2,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,58001, ,,M,31.133,-81.367,7/17/84,7,17,1984,106,EST,,,127.9,CALC,,,,,,,juv,14,KG,EST,14,U,REC,RR,,,58001,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58008, ,,BR,33.033,-78.471,7/8/14,7,8,2014,50.5,MEAS,,,61.5,CALC,63.9,MEAS,,,,,neo,,,,,M,BIO,LL,Bulls Bay - Harbor River,,20140089_2,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58012, ,,BR,33.033,-78.471,7/8/14,7,8,2014,43.8,MEAS,,,53.5,CALC,55.2,MEAS,,,,,neo,,,,,M,BIO,LL,Bulls Bay - Harbor River,,20140089_3,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58025, ,,BR,33.033,-78.471,7/8/14,7,8,2014,41.6,MEAS,,,50.9,CALC,51.8,MEAS,,,,,neo,,,,,F,BIO,GN,Bulls Bay - Harbor River,,20140085_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58047, ,,BR,33.033,-78.471,7/8/14,7,8,2014,49,MEAS,,,59.7,CALC,61.5,MEAS,,,,,neo,,,,,F,BIO,LL,Bulls Bay - Harbor River,,20140092_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58066, ,,BR,33.033,-78.471,7/15/14,7,15,2014,44,MEAS,,,53.7,CALC,55.2,MEAS,,,,,neo,,,,,F,BIO,LL,Bulls Bay - Harbor River,,20140111_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58101, ,,BR,32.482,-79.519,7/21/14,7,21,2014,51.9,MEAS,,,63.2,CALC,65.3,MEAS,,,,,neo,,,,,F,BIO,LL,Morgan Island,,20140121_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58120, ,,BR,32.482,-79.519,7/21/14,7,21,2014,48.5,MEAS,,,59.1,CALC,61.2,MEAS,,,,,neo,,,,,F,BIO,GN,Morgan Island,,20140129_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58148, ,,BR,33.033,-78.471,7/23/14,7,23,2014,44,MEAS,,,53.7,CALC,55.3,MEAS,,,,,neo,,,,,M,BIO,LL,Bulls Bay - Harbor River,,20140142_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58151, ,,BR,33.01,-78.515,7/29/14,7,29,2014,47.3,MEAS,,,57.7,CALC,58.8,MEAS,,,,,neo,,,,,F,BIO,GN,Bulls Bay - Five Fathom Creek,,20140143_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58166, ,,BR,33.01,-78.515,7/29/14,7,29,2014,48.2,MEAS,,,58.8,CALC,60.6,MEAS,,,,,neo,,,,,F,BIO,GN,Bulls Bay - Five Fathom Creek,,20140144_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58169, ,,BR,33.01,-78.515,7/29/14,7,29,2014,49.8,MEAS,,,60.7,CALC,62.3,MEAS,,,,,neo,,,,,F,BIO,GN,Bulls Bay - Five Fathom Creek,,20140144_2,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58307, ,,BR,32.631,-79.734,8/18/14,8,18,2014,61,MEAS,,,74.1,CALC,76.6,MEAS,,,,,juv,,,,,F,BIO,GN,North Edisto - Wadmalaw Point,,20140198_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58379, ,,BR,32.245,-79.357,9/2/14,9,2,2014,54.2,MEAS,,,65.9,CALC,67.9,MEAS,,,,,neo,,,,,M,BIO,LL,Port Royal Sound-North of Channel,,20140232_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,R,,58381,duplicate,,BR,30.709,-81.448,10/6/14,10,6,2014,63.5,MEAS,,,78.7,MEAS,,,,,,,juv,2.9,KG,CALC,2.9,F,COM,OTTER TRAWL,,,58381,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,58381,duplicate,,BR,32.256,-80.658,9/2/14,9,2,2014,60,MEAS,,,75.5,MEAS,,,,,,,juv,2.4,KG,CALC,2.4,F,BIO,LL,,,58381,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58381, ,,BR,32.256,-79.342,9/2/14,9,2,2014,60,MEAS,,,72.9,CALC,75.5,MEAS,,,,,juv,,,,,F,BIO,LL,Port Royal Sound-Redville,,20140233_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58434, ,,BR,32.278,-79.269,9/3/14,9,3,2014,60.5,MEAS,,,73.5,CALC,76.5,MEAS,,,,,juv,,,,,F,BIO,LL,PRS-Chechessee River Skull Creek Entrance,,20140252_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58477, ,,BR,32.446,-79.593,9/5/14,9,5,2014,60.3,MEAS,,,73.2,CALC,75.7,MEAS,,,,,juv,,,,,M,BIO,LL,St. Helena Sound,,20140282_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58514, ,,BR,32.215,-79.379,10/20/14,10,20,2014,65.8,MEAS,,,79.8,CALC,82.7,MEAS,,,,,juv,,,,,M,BIO,LL,Port Royal Sound,,20140347_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/SCDNR,T,,58522, ,,BR,32.172,-79.422,10/21/14,10,21,2014,61.5,MEAS,,,74.7,CALC,77.4,MEAS,,,,,juv,,,,,F,BIO,LL,Port Royal Sound,,20140354_1,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,61368, ,,M,32.583,-79.95,8/3/94,8,3,1994,102,MEAS,,,123.1,CALC,,,,,,,juv,11,KG,EST,11,M,REC,RR,,,61368,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/GADNR,T,,61469, ,,BR,30.411,-81.378,10/28/14,10,28,2014,53.2,MEAS,,,67.1,MEAS,,,,,,,neo,1.7,KG,MEAS,1.7,F,BIO,LL,,,17141028002,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/GADNR,T,,61485, ,,BR,31.304,-81.182,10/16/14,10,16,2014,77.9,MEAS,,,98,MEAS,,,,,,,juv,7,KG,MEAS,7,F,BIO,LL,,,17141016006,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,COASTSPAN/GADNR,T,,61494, ,,BR,30.944,-81.377,10/3/14,10,3,2014,124,MEAS,,,158.3,MEAS,,,,,,,juv,25,KG,MEAS,25,F,BIO,LL,,,17141003005,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,61700, ,,M,30.667,-81.433,10/1/79,10,1,1979,65.1,CALC,,,79,MEAS,,,,,,,juv,20,KG,MEAS,20,F,REC,RR,,,61700,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,R,,61703,duplicate,,M,27.483,-80.3,12/20/79,12,20,1979,59,MEAS,,,71.7,CALC,,,,,,,neo,,,,,F,NR,RR,,,61703,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,61703,duplicate,,M,30.667,-81.433,10/1/79,10,1,1979,69,MEAS,,,86,MEAS,,,,,,,juv,,,,,F,NR,RR,,,61703,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,61737, ,,M,30.4,-81.367,7/29/81,7,29,1981,80,MEAS,,,96.8,CALC,,,,,,,juv,,,,,F,REC,RR,,,61737,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,61752, ,,M,29.669,-81.211,4/26/81,4,26,1981,143,MEAS,,,172.1,CALC,,,,,,,adu,,,,,M,REC,RR,,,61752,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,61781, ,,M,29.933,-81.217,6/8/80,6,8,1980,62.6,CALC,,,76,EST,,,,,,,juv,,,,,M,REC,RR,,,61781,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,61785, ,,M,30.4,-81.367,4/4/80,4,4,1980,95,MEAS,,,114.7,CALC,,,,,,,juv,7,KG,MEAS,7,M,REC,RR,,,61785,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,62500, ,,M,32,-80.833,6/29/80,6,29,1980,88.6,CALC,,,107,EST,,,,,,,juv,19,KG,EST,19,U,REC,RR,,,62500,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,62501, ,,M,32,-80.833,6/29/80,6,29,1980,62.6,CALC,,,76,EST,,,,,,,juv,9,KG,EST,9,U,REC,RR,,,62501,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,62502, ,,M,32,-80.833,7/20/80,7,20,1980,75.2,CALC,,,91,EST,,,,,,,juv,7,KG,EST,7,U,REC,RR,,,62502,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,62545, ,,M,37.233,-75.617,7/18/80,7,18,1980,105.3,CALC,,,127,EST,,,,,,,juv,,,,,U,REC,RR,,,62545,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,62552, ,,M,37.233,-75.617,7/18/80,7,18,1980,120.3,CALC,,,145,MEAS,,,,,,,juv,,,,,U,REC,RR,,,62552,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,62791, ,,M,31.95,-81.083,8/8/89,8,8,1989,49,EST,,,59.7,CALC,,,,,,,neo,,,,,F,REC,RR,,,62791,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,63940, ,,M,25.917,-80,3/18/80,3,18,1980,75.2,CALC,,,91,EST,,,,,,,juv,5,KG,EST,5,M,REC,RR,,,63940,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,64313, ,,M,30.367,-81.3,5/22/82,5,22,1982,64,MEAS,,,77.6,CALC,,,,,,,juv,3,KG,EST,3,F,REC,RR,,,64313,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,64314, ,,M,30.367,-81.3,5/22/82,5,22,1982,71,MEAS,,,86,CALC,,,,,,,juv,5,KG,EST,5,F,REC,RR,,,64314,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,64335, ,,M,29.933,-81.217,4/27/80,4,27,1980,81.9,CALC,,,99,MEAS,,,,,,,juv,5,KG,EST,5,M,REC,RR,,,64335,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,64353, ,,M,29.683,-81.233,5/28/83,5,28,1983,33,EST,,,40.6,CALC,,,,,,,neo,1,KG,EST,1,F,REC,RR,,,64353,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,64358, ,,M,29.669,-81.211,5/25/80,5,25,1980,113.7,CALC,,,137,EST,,,,,,,juv,,,,,F,REC,RR,,,64358,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,64360, ,,M,30.4,-81.367,8/6/80,8,6,1980,116,MEAS,,,139.8,CALC,,,,,,,juv,,,,,F,REC,RR,,,64360,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,64361, ,,M,30.4,-81.367,8/6/80,8,6,1980,99.4,CALC,,,120,MEAS,,,,,,,juv,,,,,M,REC,RR,,,64361,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,64390, ,,M,30.283,-81.333,8/1/80,8,1,1980,84,MEAS,,,101.6,CALC,,,,,,,juv,2,KG,EST,2,U,REC,RR,,,64390,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,65291, ,,M,26.383,-79.833,12/28/81,12,28,1981,101.1,CALC,,,122,EST,,,,,,,juv,9,KG,EST,9,M,COM,LL,,,65291,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,65328, ,,M,25.75,-79.267,3/29/82,3,29,1982,131,MEAS,,,157.7,CALC,,,,,,,adu,,,,,M,BIO,LL,,,65328,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,65340, ,,M,25.75,-79.267,3/22/82,3,22,1982,117,MEAS,,,141,CALC,,,,,,,juv,11,KG,EST,11,F,BIO,LL,,,65340,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,65343, ,,M,25.75,-79.267,3/23/82,3,23,1982,128,MEAS,,,154.2,CALC,,,,,,,adu,,,,,M,BIO,LL,,,65343,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,65360, ,,M,25.75,-79.267,3/26/82,3,26,1982,102,MEAS,,,123.1,CALC,,,,,,,juv,10,KG,EST,10,F,BIO,LL,,,65360,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,65366, ,,M,25.75,-79.267,3/27/82,3,27,1982,112,CALC,,,135,MEAS,,,,,,,juv,8,KG,EST,8,F,BIO,LL,,,65366,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,65587, ,,M,26.799,-79.016,7/22/80,7,22,1980,137,EST,,,164.9,CALC,,,,,,,adu,46,KG,EST,46,U,REC,RR,,,65587,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69500, ,,M,30.533,-81.45,8/22/81,8,22,1981,66.8,CALC,,,81,MEAS,,,,,,,juv,5,KG,EST,5,M,REC,RR,,,69500,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69501, ,,M,30.533,-81.45,8/29/81,8,29,1981,69.3,CALC,,,84,MEAS,,,,,,,juv,5,KG,EST,5,F,REC,RR,,,69501,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69503, ,,M,30.533,-81.45,9/4/81,9,4,1981,69.3,CALC,,,84,MEAS,,,,,,,juv,5,KG,EST,5,F,REC,RR,,,69503,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69504, ,,M,30.533,-81.45,9/19/81,9,19,1981,65.1,CALC,,,79,MEAS,,,,,,,juv,5,KG,EST,5,F,REC,RR,,,69504,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69525, ,,M,30.667,-81.433,8/1/81,8,1,1981,102.8,CALC,,,124,EST,,,,,,,juv,9,KG,EST,9,M,REC,RR,,,69525,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69526, ,,M,30.667,-81.433,8/1/81,8,1,1981,105.3,CALC,,,127,EST,,,,,,,juv,10,KG,EST,10,M,REC,RR,,,69526,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69527, ,,M,30.667,-81.433,8/1/81,8,1,1981,75.2,CALC,,,91,EST,,,,,,,juv,6,KG,EST,6,M,REC,RR,,,69527,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69528, ,,M,30.667,-81.433,8/1/81,8,1,1981,101.1,CALC,,,122,EST,,,,,,,juv,9,KG,EST,9,M,REC,RR,,,69528,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69529, ,,M,30.667,-81.433,8/1/81,8,1,1981,102.8,CALC,,,124,MEAS,,,,,,,juv,9,KG,EST,9,M,REC,RR,,,69529,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69530, ,,M,30.667,-81.433,8/1/81,8,1,1981,126.2,CALC,,,152,EST,,,,,,,adu,14,KG,EST,14,M,REC,RR,,,69530,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69531, ,,M,30.667,-81.433,8/1/81,8,1,1981,75.2,CALC,,,91,EST,,,,,,,juv,7,KG,EST,7,F,REC,RR,,,69531,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69533, ,,M,30.667,-81.433,8/1/81,8,1,1981,109.5,CALC,,,132,EST,,,,,,,juv,12,KG,EST,12,M,REC,RR,,,69533,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69537, ,,M,30.283,-81.333,10/19/80,10,19,1980,124,MEAS,,,149.4,CALC,,,,,,,juv,19,KG,EST,19,F,REC,RR,,,69537,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,69538, ,,M,30.283,-81.333,10/19/80,10,19,1980,86,MEAS,,,103.9,CALC,,,,,,,juv,,,,,F,REC,RR,,,69538,Atlantic_CCL_COASTSPAN.xlsx
