SPECIES,COMMON,SOURCE,DATATYPE,TAG,TAGNO, ,TAGEVENT,TAGTYPE,LATDEC,LONDEC,DATE,MONTH,DAY,YEAR,FL_CM,FL_DET,PCL_CM,PCL_DET,TL_CM,TL_DET,STL_CM,STL_DET,SL_CM,SL_DET,LENGTHS_DET,LIFESTAGE_AUTHOR,LIFESTAGE_HMS_EFH,WT_A,WT_A_UNITS,WT_DET,WT_KG,SEX,OCC,GEAR,LOC,NOTES,Source ID,SourceFile
Carcharhinus limbatus,Blacktip,CSTP,T,,362,duplicate,,RR,27.517,-80.283,3/27/65,3,27,1965,68.5,CALC,,,83,EST,,,,,,,juv,,,,,F,BIO,LL,,,362,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,363,duplicate,,BR,18.317,-64.767,6/16/04,6,16,2004,54,MEAS,,,65.7,CALC,,,,,,,neo,2,KG,MEAS,2,M,BIO,RR,,,363,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,363,duplicate,,RR,27.517,-80.283,3/27/65,3,27,1965,50.1,CALC,,,61,EST,,,,,,,neo,,,,,F,BIO,LL,,,363,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,364, ,,BR,18.317,-64.767,6/16/04,6,16,2004,48,MEAS,,,58.5,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,364,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,365, ,,BR,18.317,-64.767,6/16/04,6,16,2004,56,MEAS,,,68.1,CALC,,,,,,,neo,2,KG,MEAS,2,F,BIO,LL,,,365,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,366, ,,BR,18.317,-64.767,6/16/04,6,16,2004,51,MEAS,,,62.1,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,366,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,369, ,,BR,18.317,-64.95,7/7/04,7,7,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,2,KG,MEAS,2,F,BIO,LL,,,369,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,375, ,,BR,18.317,-64.767,7/8/04,7,8,2004,53,MEAS,,,64.5,CALC,,,,,,,neo,1,KG,MEAS,1,F,BIO,LL,,,375,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,376, ,,BR,18.317,-64.767,7/8/04,7,8,2004,54,MEAS,,,65.7,CALC,,,,,,,neo,2,KG,EST,2,F,BIO,LL,,,376,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,377, ,,BR,18.317,-64.767,7/8/04,7,8,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,2,KG,EST,2,F,BIO,LL,,,377,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,379,duplicate,,BR,18.322,-64.766,7/8/04,7,8,2004,48,MEAS,,,57,MEAS,,,,,,,neo,1.5,KG,MEAS,1.5,M,BIO,LL,,,379,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,R,,379,duplicate,,BR,31.008,-81.433,4/14/11,4,14,2011,144.7,MEAS,,,177.8,MEAS,,,,,,,adu,36.1,KG,CALC,36.1,M,REC,RR,,,379,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,380, ,,BR,18.317,-64.867,7/8/04,7,8,2004,51,MEAS,,,62.1,CALC,,,,,,,neo,1,KG,MEAS,1,F,BIO,LL,,,380,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,383, ,,BR,18.317,-64.767,7/9/04,7,9,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,383,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,384, ,,BR,18.317,-64.767,7/9/04,7,9,2004,52,MEAS,,,63.3,CALC,,,,,,,neo,2,KG,MEAS,2,M,BIO,LL,,,384,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,385, ,,BR,18.317,-64.767,7/9/04,7,9,2004,52,MEAS,,,63.3,CALC,,,,,,,neo,2,KG,MEAS,2,M,BIO,LL,,,385,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,386, ,,BR,18.317,-64.767,7/9/04,7,9,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,,,,,M,BIO,LL,,,386,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,387, ,,BR,18.317,-64.767,7/9/04,7,9,2004,54,MEAS,,,65.7,CALC,,,,,,,neo,2,KG,MEAS,2,F,BIO,LL,,,387,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,389, ,,BR,18.317,-64.767,7/9/04,7,9,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,1,KG,MEAS,1,F,BIO,LL,,,389,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,390, ,,BR,18.317,-64.767,7/9/04,7,9,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,390,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,391, ,,BR,18.317,-64.767,7/9/04,7,9,2004,54,MEAS,,,65.7,CALC,,,,,,,neo,2,KG,MEAS,2,M,BIO,LL,,,391,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,392, ,,BR,18.317,-64.767,7/9/04,7,9,2004,52,MEAS,,,63.3,CALC,,,,,,,neo,2,KG,MEAS,2,M,BIO,LL,,,392,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,393, ,,BR,18.317,-64.767,7/9/04,7,9,2004,63,MEAS,,,76.4,CALC,,,,,,,juv,3,KG,MEAS,3,F,BIO,LL,,,393,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,394, ,,BR,18.317,-64.767,7/9/04,7,9,2004,49,MEAS,,,59.7,CALC,,,,,,,neo,1,KG,MEAS,1,F,BIO,LL,,,394,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,395,duplicate,,BR,18.317,-64.767,7/9/04,7,9,2004,66,MEAS,,,80,CALC,,,,,,,juv,3,KG,MEAS,3,F,BIO,LL,,,395,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,R,,395,duplicate,,BR,18.317,-64.767,1/12/05,1,12,2005,74,MEAS,,,89.6,CALC,,,,,,,juv,,,,,F,BIO,LL,,,395,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,396, ,,BR,18.317,-64.767,7/9/04,7,9,2004,48,MEAS,,,58.5,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,396,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,397, ,,BR,18.317,-64.767,7/9/04,7,9,2004,50,MEAS,,,60.9,CALC,,,,,,,neo,1,KG,MEAS,1,M,BIO,LL,,,397,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,400, ,,BR,18.367,-64.917,7/10/04,7,10,2004,51,MEAS,,,62.1,CALC,,,,,,,neo,2,KG,MEAS,2,F,BIO,LL,,,400,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,VIMS,T,,404, ,,VIMS HP-S,36.992,-75.444,6/19/08,6,19,2008,147,MEAS,134,MEAS,179,MEAS,,,,,,,adu,,,,,M,BIO,LL,,,LL20080601007,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,VIMS,T,,411, ,,VIMS HP-S,36.992,-75.444,6/19/08,6,19,2008,147,MEAS,134,MEAS,179,MEAS,,,,,,,adu,,,,,M,BIO,LL,,,LL20080601007,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,VIMS,T,,420, ,,VIMS HP-S,37.273,-75.771,7/17/08,7,17,2008,120,MEAS,106,MEAS,145,MEAS,,,,,,,juv,,,,,F,BIO,LL,,,LL20080701006,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,452, ,,RR,27.6,-80.283,3/16/65,3,16,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,F,BIO,LL,,,452,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,454, ,,RR,27.6,-80.283,3/16/65,3,16,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,U,BIO,LL,,,454,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,460, ,,RR,27.6,-80.283,3/16/65,3,16,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,F,BIO,LL,,,460,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,461, ,,RR,27.6,-80.283,3/16/65,3,16,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,F,BIO,LL,,,461,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,464, ,,RR,27.6,-80.283,3/16/65,3,16,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,U,BIO,LL,,,464,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,469, ,,RR,27.533,-80.283,3/18/65,3,18,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,469,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,472, ,,RR,27.55,-80.283,3/19/65,3,19,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,472,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,473, ,,RR,27.55,-80.283,3/19/65,3,19,1965,113.7,CALC,,,137,EST,,,,,,,juv,,,,,M,BIO,LL,,,473,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,474, ,,RR,27.55,-80.283,3/19/65,3,19,1965,113.7,CALC,,,137,EST,,,,,,,juv,,,,,M,BIO,LL,,,474,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,475, ,,RR,27.55,-80.283,3/19/65,3,19,1965,139.6,CALC,,,168,EST,,,,,,,adu,,,,,M,BIO,LL,,,475,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,476, ,,RR,27.55,-80.283,3/19/65,3,19,1965,113.7,CALC,,,137,EST,,,,,,,juv,,,,,M,BIO,LL,,,476,Atlantic_CCL_COASTSPAN.xlsx
Carcharhinus limbatus,Blacktip,CSTP,T,,477, ,,RR,27.55,-80.283,3/19/65,3,19,1965,126.2,CALC,,,152,EST,,,,,,,adu,,,,,M,BIO,LL,,,477,Atlantic_CCL_COASTSPAN.xlsx
